SimaPro 9.5.0.1	Inventory	Date:	31/07/2023	Time:	11:54:34
Project	Doris_Thesis


Calculation: 	Compare
Results: 	Inventory
Product 1: 	1 kg white rice cooked, at household {CH} (of project Doris_Thesis)
Product 2: 	1 kg white rice cooked, at household {CN} (of project Doris_Thesis)
Product 3: 	1 kg white rice cooked, at household {IN} (of project Doris_Thesis)
Method: 	ReCiPe 2016 Midpoint (H) V1.08 / World (2010) H
Indicator: 	Inventory
Compartment: 	All compartments
Per sub-compartment: 	Yes
Default units: 	Yes
Exclude infrastructure processes: 	No
Exclude long-term emissions: 	No
Sorted on item: 	Substance
Sort order: 	Ascending

No	Substance	Compartment	Subcompartment	Unit	white rice cooked, at household {CH}	white rice cooked, at household {CN}	white rice cooked, at household {IN}
162	Antimony, ion	Air	low. pop., long-term	kg	1.7332377E-10	8.3087338E-11	5.8751951E-11
163	Antimony, ion	Water		kg	6.4161045E-10	6.4154214E-10	6.4150353E-10
164	Antimony, ion	Water	groundwater	kg	2.2506471E-8	6.0661812E-9	5.6052903E-8
165	Antimony, ion	Water	groundwater, long-term	kg	3.3535502E-6	4.8578407E-7	5.1681186E-7
166	Antimony, ion	Water	river	kg	1.6965638E-6	1.8192746E-7	1.2863318E-7
167	Antimony, ion	Soil		kg	8.2307092E-10	2.3709467E-9	4.9872615E-10
168	Antimony, ion	Soil	agricultural	kg	2.7331772E-11	1.8398325E-11	1.4472105E-11
169	Antimony, ion	Soil	industrial	kg	1.5148791E-8	8.3125147E-9	7.9688715E-9
170	AOX, Adsorbable Organic Halogen	Water		kg	1.2834827E-7	1.2774462E-7	1.2641972E-7
171	AOX, Adsorbable Organic Halogen	Water	ocean	kg	4.4424748E-11	1.663549E-11	1.5568939E-11
172	AOX, Adsorbable Organic Halogen	Water	river	kg	1.3200816E-5	3.9058037E-6	3.9018174E-6
173	Argon-40/kg	Raw	in air	kg	8.1703071E-5	5.004055E-5	4.5515083E-5
174	Argon-41	Air	low. pop.	Bq	0.056129183	0.014708658	0.014284436
175	Arsenic	Raw	in ground	kg	2.6306846E-8	2.2840058E-8	1.8754553E-8
176	Arsenic, ion	Air		kg	1.1208915E-8	9.7575279E-9	7.5931257E-9
177	Arsenic, ion	Air	high. pop.	kg	2.5967675E-8	2.0122902E-8	1.8308236E-8
178	Arsenic, ion	Air	low. pop.	kg	3.7890054E-7	3.1918948E-7	2.0482836E-7
179	Arsenic, ion	Air	low. pop., long-term	kg	5.8877329E-9	3.0130903E-9	1.6984308E-9
180	Arsenic, ion	Water		kg	7.1170666E-9	6.1312418E-9	6.0052703E-9
181	Arsenic, ion	Water	groundwater	kg	1.5508513E-7	5.1456613E-8	7.5797608E-7
182	Arsenic, ion	Water	groundwater, long-term	kg	1.0532145E-6	9.1285631E-7	1.5711944E-6
183	Arsenic, ion	Water	ocean	kg	6.0610292E-9	5.8795474E-9	5.5188447E-9
184	Arsenic, ion	Water	river	kg	8.6800842E-7	1.483828E-6	8.3504293E-7
185	Arsenic, ion	Soil		kg	2.1463781E-9	7.5401593E-9	1.560849E-9
186	Arsenic, ion	Soil	agricultural	kg	2.6164702E-9	1.413097E-9	2.8744984E-9
187	Arsenic, ion	Soil	industrial	kg	5.6095876E-9	2.5203226E-9	2.1704062E-9
188	Arsine	Air	high. pop.	kg	1.3512764E-14	5.2887497E-15	4.6614436E-15
189	Asulam	Soil	agricultural	kg	2.7744636E-16	4.945075E-17	4.998237E-17
190	Atrazine	Air	low. pop.	kg	2.6415416E-9	2.6209374E-9	2.6277741E-9
191	Atrazine	Water		kg	5.2461193E-12	5.2241505E-12	5.2237687E-12
192	Atrazine	Water	groundwater	kg	6.5071284E-11	6.4797601E-11	6.4792815E-11
193	Atrazine	Water	river	kg	9.4374463E-15	9.3933294E-15	9.3924514E-15
194	Atrazine	Soil	agricultural	kg	1.8853043E-7	1.8064819E-7	1.9635656E-7
195	Atrazine	Soil	forestry	kg	1.1788075E-10	1.1738711E-10	1.1737853E-10
196	Azadirachtin	Soil	agricultural	kg	7.9344653E-11	5.8348145E-11	3.6348185E-10
197	Azinphos-methyl	Soil	agricultural	kg	2.6035399E-10	2.6018684E-10	2.6158156E-10
198	Azoxystrobin	Air	low. pop.	kg	3.0199377E-10	2.3292919E-10	2.5711679E-10
199	Azoxystrobin	Water		kg	4.564517E-13	3.6454186E-13	3.9354455E-13
200	Azoxystrobin	Water	groundwater	kg	1.40247E-12	1.0573193E-12	1.1666774E-12
201	Azoxystrobin	Soil	agricultural	kg	3.3896271E-6	1.2490797E-5	1.2490919E-5
202	Azoxystrobin	Soil	forestry	kg	1.4960238E-11	1.1970611E-11	1.2913844E-11
203	Barite	Water	ocean	kg	0.0001829271	7.4861988E-5	6.8857015E-5
204	Barium	Raw	in ground	kg	0.001982234	0.00090988895	0.00077613465
205	Barium-140	Air	low. pop.	Bq	4.6492115E-5	5.3165688E-6	6.3645897E-6
206	Barium-140	Water	river	Bq	0.0001209295	1.3799514E-5	1.6545567E-5
207	Barium (II)	Air		kg	1.1056386E-6	9.182685E-7	2.6422109E-7
208	Barium (II)	Air	high. pop.	kg	3.6532398E-7	1.0860961E-7	8.7127229E-8
209	Barium (II)	Air	low. pop.	kg	7.7345651E-8	3.6147709E-7	2.0546298E-7
210	Barium (II)	Air	low. pop., long-term	kg	1.1359352E-8	5.030436E-9	3.5449369E-9
211	Barium (II)	Water		kg	7.39132E-8	7.1918208E-8	7.0038937E-8
212	Barium (II)	Water	groundwater	kg	5.7988439E-8	5.5570612E-8	4.7592685E-8
213	Barium (II)	Water	groundwater, long-term	kg	3.2305646E-5	2.3147106E-5	2.6134328E-5
214	Barium (II)	Water	ocean	kg	5.6184622E-6	3.175901E-6	2.7576196E-6
215	Barium (II)	Water	river	kg	1.1721225E-5	7.6811923E-6	6.428422E-6
216	Barium (II)	Soil		kg	7.0808324E-8	2.490602E-7	5.1553261E-8
217	Barium (II)	Soil	agricultural	kg	2.3793583E-9	1.5836435E-9	1.2383101E-9
218	Barium (II)	Soil	industrial	kg	5.7239794E-6	2.6582437E-6	2.2387963E-6
219	Basalt	Raw	in ground	kg	0.00015533216	6.0182621E-5	4.5115417E-5
220	Benomyl	Soil	agricultural	kg	9.7295052E-12	1.0129554E-11	1.4118031E-11
221	Bensulfuron methyl ester	Soil	agricultural	kg	1.1783858E-6	4.34294E-6	4.34294E-6
222	Bentazone	Air	low. pop.	kg	8.5413727E-12	3.256017E-12	7.1069487E-12
223	Bentazone	Water	groundwater	kg	3.886949E-13	1.418842E-13	2.1433276E-13
224	Bentazone	Water	river	kg	2.4088124E-16	8.7928197E-17	1.3282588E-16
225	Bentazone	Soil	agricultural	kg	3.7954772E-6	1.3976205E-5	1.3976207E-5
226	Benzal chloride	Air	high. pop.	kg	1.8311496E-10	1.5898357E-10	1.3054545E-10
227	Benzal chloride	Water	river	kg	4.3946899E-10	3.8155456E-10	3.1330416E-10
228	Benzaldehyde	Air		kg	5.6540458E-8	2.6658758E-7	6.087834E-8
229	Benzaldehyde	Air	high. pop.	kg	8.2440817E-8	4.9265414E-11	3.411452E-11
230	Benzaldehyde	Air	low. pop.	kg	4.1032627E-9	3.6327107E-9	3.3497155E-8
231	Benzene	Air		kg	2.149167E-6	8.529597E-7	6.539298E-7
232	Benzene	Air	high. pop.	kg	9.4512191E-6	3.6477092E-6	0.00023692382
233	Benzene	Air	low. pop.	kg	8.0504702E-6	1.9727974E-5	1.7826013E-5
234	Benzene	Water		kg	4.5405941E-11	3.0106899E-11	2.3800371E-11
235	Benzene	Water	ocean	kg	1.6196378E-7	9.1551913E-8	7.9494052E-8
236	Benzene	Water	river	kg	2.3317898E-5	8.1022141E-6	8.0392306E-6
237	Benzene, 1-methyl-2-nitro-	Air	high. pop.	kg	7.2402415E-10	2.6177929E-9	2.618866E-9
238	Benzene, 1,2-dichloro-	Air	high. pop.	kg	5.2232854E-9	1.8942224E-8	1.8947682E-8
239	Benzene, 1,2-dichloro-	Water	river	kg	1.416654E-5	4.161099E-6	4.1591921E-6
240	Benzene, chloro-	Water	river	kg	2.0529551E-5	6.1342729E-6	6.1313612E-6
241	Benzene, ethyl-	Air		kg	2.2329751E-8	9.3522396E-10	9.2160249E-10
242	Benzene, ethyl-	Air	high. pop.	kg	4.4945205E-7	1.3872209E-7	8.2218698E-5
243	Benzene, ethyl-	Air	low. pop.	kg	1.0548304E-7	5.4031434E-7	1.1148507E-7
244	Benzene, ethyl-	Water		kg	7.6059768E-14	6.5747349E-14	5.8583077E-14
245	Benzene, ethyl-	Water	ocean	kg	5.8413167E-8	3.3018723E-8	2.8669986E-8
246	Benzene, ethyl-	Water	river	kg	1.2146327E-7	7.9634676E-8	6.6651838E-8
